,Movie,Day of Release,Language
406,Roam Rome Mein,2020,"English, "
407,Missing Link,2020,English
408,Colette,2020,English
409,Playmobil: The Movie,2020,English
410,Captive State,2020,English
411,The House of Tomorrow,2020,English
412,We Didn't Kill Mia,2020,English
413,The Fountainhead,2020,English
414,The Little Stranger,2020,English
415,The Wedding Year,2020,English
416,White Boy Rick,2020,English
417,Penguin,2020,Tamil
418,Sinamkol,2020,Tamil
419,Jail,2020,Tamil
420,Paandi Muni,2020,Tamil
421, Ka -The Forest,2020,Tamil
422,Vairii,2020,Tamil
423, Adho Andha Paravai Pola,2020,Tamil
424,Kuttrapayirchi,2020,Tamil
425,Porukkies,2020,Tamil
426,Party,2020,Tamil
427,IPC 376,2020,Tamil
428,Kumki 2,2020,Tamil
429,Sabash Naidu,2020,Tamil
430,Dhaganam,2020,Tamil
431,Peipasi,2020,Tamil
432,Ranga ,2020,Tamil
433,Katteri,2020,Tamil
434,Kavalthurai Ungal Nanban,2020,Tamil
435,Plan Panni Pannanum,2020,Tamil
436,Enakku Onnu Therinjaakanum,2020,Tamil
437,Annaatthe,2020,Tamil
438,Cinderella,2020,Tamil
439,Mahanayakan,2020,Tamil
440,Thedu,2020,Tamil
441,Server Sundaram,2020,Tamil
442,MMOF,2020,"Tamil, "
443,Vaazhkaiya Thedi Naanum Ponen,2020,Tamil
444,Para Para Para,2020,Tamil
445,Panni Kutty,2020,Tamil
446,Kettavannu Peredutha Nallavanda,2020,Tamil
447,Maha,2020,Tamil
448,Hero Heroine,2020,Telugu
449,Cobra,2020,"Telugu, "
450,Veeramadevi,2020,Telugu
451,Uppena,2020,Telugu
452,Virataparvam,2020,Telugu
453,A1 Express,2020,Telugu
454,Student of the Year (Telugu),2020,Telugu
455,Samharini,2020,Telugu
456,47 Days,2020,Telugu
457,Takkari Donga Chakkani Chukka,2020,Telugu
458,Tuck Jagadish,2020,Telugu
459,Bombhaat,2020,Telugu
460,Vittalwadi,2020,Telugu
461,Viswadarshanam,2020,Telugu
462,Ala,2020,Telugu
463,Thota Bavi,2020,Telugu
464,Gatham,2020,Telugu
465,15th August,2020,Marathi
466,Tendlya,2020,Marathi
467,Preetam,2020,Marathi
